;action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
2163;1069;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Commission d'accès aux documents administratifs;;
2164;1070;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haute Autorité pour la transparence de la vie publique;
2165;1070;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Haute Autorité pour la transparence de la vie publique;;
2166;1073;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2167;1073;Membre du Gouvernement ou membre de cabinet ministériel; Logement;
2168;1073;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Logement;;
2169;1074;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2170;1074;Membre du Gouvernement ou membre de cabinet ministériel; Logement;
2171;1074;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Logement;;
2172;1075;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2173;1075;Membre du Gouvernement ou membre de cabinet ministériel; Logement;
2174;1075;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Logement;;
2175;1076;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2176;1076;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
2177;1076;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
2178;1076;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
2179;1077;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
2180;1077;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
2181;1077;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
2182;1078;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2183;1078;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
2184;1078;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
2185;1078;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
2186;1079;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2187;1079;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
2188;1079;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
2189;1079;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
2190;1079;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
2191;1080;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2192;1080;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
2193;1080;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
2194;1080;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
2195;1081;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
2196;1081;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
2197;1081;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
2198;1082;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2199;1082;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
2200;1082;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
2201;1082;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Environnement, énergie et mer;;
2202;1083;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
2203;1083;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
2204;1083;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
2205;1084;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
2206;1084;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
2207;1084;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
2208;1085;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
2209;1085;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
2210;1085;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
2211;1086;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
2212;1086;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
2213;1086;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
2214;1087;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2215;1087;Membre du Gouvernement ou membre de cabinet ministériel; Famille;
2216;1087;Membre du Gouvernement ou membre de cabinet ministériel; enfance et droits des femmes;
2217;1087;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
2218;1087;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
2219;1087;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
2220;1087;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Famille, enfance et droits des femmes, Affaires sociales et santé, Education nationale, enseignement supérieur et recherche;;
2221;1087;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Défenseur des droits;
2222;1087;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Défenseur des droits;;
2223;1088;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2224;1088;Membre du Gouvernement ou membre de cabinet ministériel; Famille;
2225;1088;Membre du Gouvernement ou membre de cabinet ministériel; enfance et droits des femmes;
2226;1088;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
2227;1088;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Famille, enfance et droits des femmes, Affaires sociales et santé;;
2228;1088;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Défenseur des droits;
2229;1088;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Défenseur des droits;;
2230;1089;Membre du Gouvernement ou membre de cabinet ministériel;Famille;
2231;1089;Membre du Gouvernement ou membre de cabinet ministériel; enfance et droits des femmes;
2232;1089;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
2233;1089;Membre du Gouvernement ou membre de cabinet ministériel; Affaires étrangères et développement international;
2234;1089;Membre du Gouvernement ou membre de cabinet ministériel - Famille, enfance et droits des femmes, Affaires sociales et santé, Affaires étrangères et développement international;;
2235;1089;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Défenseur des droits;
2236;1089;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Défenseur des droits;;
2237;1106;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
2238;1106;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
2239;1106;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
2240;1108;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
2241;1108;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
2242;1108;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
2243;1109;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
2244;1109;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
2245;1110;Membre du Gouvernement ou membre de cabinet ministériel;Education nationale;Economie Numérique et Innovation
2246;1110;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;Economie Numérique et Innovation
2247;1110;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Economie Numérique et Innovation
2248;1110;Membre du Gouvernement ou membre de cabinet ministériel - Education nationale, enseignement supérieur et recherche, Autres : à préciser;;Economie Numérique et Innovation
2249;1116;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2250;1116;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
2251;1116;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
2252;1116;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
2253;1116;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
2254;1119;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2255;1119;Membre du Gouvernement ou membre de cabinet ministériel; Aménagement du territoire;
2256;1119;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
2257;1119;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
2258;1119;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
2259;1119;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
2260;1119;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Aménagement du territoire, ruralité et collectivités territoriales, Economie et finances, Environnement, énergie et mer;;
2261;1120;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2262;1120;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
2263;1120;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
2264;1120;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
2265;1120;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances, Environnement, énergie et mer;;
2266;1122;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
2267;1122;Membre du Gouvernement ou membre de cabinet ministériel; Défense;
2268;1122;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
2269;1122;Membre du Gouvernement ou membre de cabinet ministériel; Education nationale;
2270;1122;Membre du Gouvernement ou membre de cabinet ministériel; enseignement supérieur et recherche;
